First Priority,Second Priority,Third Priority,Score,Year
BSED-Fil,BSED-Soc Stud,BSED-Eng,105,2018
ABELS,BSNEd-TDHL,BCAED,105,2018
BSN,BSIT,BSCS,104,2018
BSBA-FM,BSBA-OM,ABFL,104,2018
BSED-Soc Stud,BPEDD,ABFL,104,2018
BSED-Soc Stud,ABFL,BSHM,104,2018
BSN,BSBio,BSED-Sci,104,2018
BSED-Sci,BSED-Fil,BSIT,104,2018
BSBio,BSIT,BSCS,104,2018
BSED-Eng,BSNEd-TDHL,BCAED,104,2018
BSBA-FM,BSAM,BSEd-Math,104,2018
BSESS,BSN,BSCS,104,2018
BSBio,BSN,BSTM,104,2018
BSED-Soc Stud,BECEd,BEED,104,2018
BSN,BSBio,BSED-Sci,104,2018
BSN,BSBio,BSESS,104,2018
BSCS,BSIT,BSIS,104,2018
BSDC,BSAM,BSBA-FM,104,2018
BSBA-FM,BSTM,BSCM,104,2018
BSBio,BSN,BAB,104,2018
BSBA-FM,BSEd-Math,BSTM,104,2018
BSED-Eng,BCAED,BSBA-OM,104,2018
BSBA-FM,BSEd-Math,BSAM,104,2018
BSN,BSBio,BSTM,104,2018
BSN,BSED-Eng,BSTM,104,2018
BSN,BSBio,BSCS,104,2018
BSBio,BSN,AB Pol Sci,104,2018
BSN,AB Pol Sci,BSBio,104,2018
BSN,BSIT,BSCS,104,2018
BSBio,BSN,BSIT,104,2018
BSN,BSBio,AB Pol Sci,104,2018
BSTM,BSCS,Not Indicated,104,2018
AB Pol Sci,AB Pol Sci,BAJ,104,2018
BSED-Fil,BSAM,BSCS,104,2018
BSN,BSED-Eng,BSTM,104,2018
BSN,BSBio,BSED-Sci,104,2018
AB Pol Sci,BSED-Eng,ABFL,104,2018
AB Pol Sci,BSTM,Not Indicated,104,2018
AB Pol Sci,BPEDD,BPA,104,2018
AB Pol Sci,BSED-Sci,BSED-Eng,104,2018
AB Pol Sci,ABELS,BSDC,104,2018
BSN,ABFL,BSTM,104,2018
BSBA-FM,BSBA-OM,BSIT,104,2018
BSBio,BSN,BSHM,104,2018
BSED-Eng,ABELS,ABFL,104,2018
ABFL,BSBA-FM,BAB,104,2018
BSN,BSBio,BAJ,104,2018
BSN,BSBA-FM,BSTM,104,2018
BSN,BSBio,BSNED-Gen,104,2018
BSNEd-TDHL,BEED,ABFL,104,2018
BSN,BSTM,BSHM,104,2018
BSBA-FM,BSBio,BSCM,104,2018
BSDC,BAB,BSBA-OM,104,2018
BSED-Soc Stud,BCAED,BAJ,104,2018
BSNEd-TDHL,BSCS,BSBio,104,2018
BSN,BSBio,BSTM,104,2018
BSN,BAB,BSBio,104,2018
BSBio,BSN,BSBA-FM,104,2018
ABFL,AB Pol Sci,BAJ,104,2018
BSN,BSBio,Not Indicated,104,2018
BSN,BSBio,BSCS,104,2018
BSED-Eng,BSED-Soc Stud,BSED-Fil,104,2018
BSCS,BSIS,AB Pol Sci,104,2018
BSED-Soc Stud,BSED-Fil,BSBA-FM,104,2018
BSN,BSBio,BSAM,104,2018
BSED-Eng,BEED,BSBA-OM,104,2018
BSBio,BSDC,BSNEd-TDHL,104,2018
BSN,BSBio,ABFL,104,2018
BSN,AB Pol Sci,BSTM,104,2018
BSN,BSBio,Not Indicated,104,2018
BSN,BSBio,BSAM,104,2018
BSN,BSBA-FM,BEED,104,2018
BSN,AB Pol Sci,BSBio,104,2018
BSN,BSBio,BSAM,104,2018
BSN,BSBio,BSBA-OM,104,2018
ABELS,BSTM,AB Pol Sci,104,2018
BSBio,BSED-Sci,ABFL,104,2018
BSN,BSBio,AB Pol Sci,104,2018
BSCM,BSN,Not Indicated,104,2018
BSBio,BSN,Not Indicated,104,2018
BSED-Eng,BSTM,BPA,104,2018
BSN,ABFL,BPEDD,104,2018
BSN,BSAM,BSBio,104,2018
BSED-Soc Stud,ABELS,ABFL,103,2018
BSED-Eng,BSNED-Gen,BSTM,103,2018
BSBA-FM,BSBA-OM,AB Pol Sci,103,2018
BSED-Sci,BSN,BEED,103,2018
BSED-Fil,BEED,BPEDD,103,2018
BSED-Sci,BSN,BSIS,103,2018
BSN,BSBio,AB Pol Sci,103,2018
BSTM,BSHM,BSNED-Gen,103,2018
BEEd,BSDC,BSED-Fil,103,2018
ABELS,BSED-Eng,ABFL,103,2018
BSED-Eng,BSIT,ABELS,103,2018
BSN,BSED-Sci,BEED,103,2018
BSBA-FM,BSIT,BSIS,103,2018
BSN,BSBio,BAJ,103,2018
BSBio,BSAM,BSBA-OM,103,2018
BSN,BSBA-FM,BSTM,103,2018
BSCS,BSTM,BEED,103,2018
BSBA-FM,BSTM,AB Pol Sci,103,2018
BSCS,BSEMC,BSIT,103,2018
BSN,BSBio,BSHM,103,2018
ABELS,BSED-Eng,BSNED-Gen,103,2018
BSN,BSBio,BSNED-Gen,103,2018
BSN,BSBio,BAJ,103,2018
BSN,BSBio,AB Pol Sci,103,2018
BPA,BPEDD,BSED-Soc Stud,103,2018
BSN,BSBio,BSBA-FM,103,2018
BSN,BSBio,BSAM,103,2018
BSBA-FM,BSTM,BCAED,103,2018
BSBA-FM,BSEd-Math,BSN,103,2018
BSN,BSBio,BSCS,103,2018
BSBio,ABFL,BSIT,103,2018
BSN,BSED-Eng,BSNED-Gen,103,2018
BSN,BSBio,BSCS,103,2018
BSN,BSBio,AB Pol Sci,103,2018
BSBA-FM,BSBA-OM,BSBio,103,2018
BSBio,BSN,AB Pol Sci,103,2018
BSN,BSIT,BSBio,103,2018
BSBA-OM,BSHM,ABFL,103,2018
BSBA-FM,BSIT,BSBio,103,2018
BSN,Not Indicated,Not Indicated,103,2018
BSED-Eng,BSN,BSBio,103,2018
BSED-Soc Stud,BEED,BSED-Eng,103,2018
BSED-Sci,BSED-Soc Stud,BSBio,103,2018
BSN,BSBio,BSED-Sci,103,2018
BSBio,BSN,Not Indicated,103,2018
BSBio,Not Indicated,Not Indicated,103,2018
BSN,BSBio,AB Pol Sci,103,2018
AB Pol Sci,BSED-Soc Stud,ABELS,103,2018
AB Pol Sci,BSED-Eng,BCAED,103,2018
AB Pol Sci,BCAED,BAJ,103,2018
AB Pol Sci,BSBA-FM,BAJ,103,2018
AB Pol Sci,BSCS,Not Indicated,103,2018
AB Pol Sci,BAB,BSCM,103,2018
BSED-Sci,BSED-Eng,BSIS,103,2018
BSBio,BSN,AB Pol Sci,103,2018
BSN,BSBio,BSBA-FM,103,2018
ABFL,BSBio,AB Pol Sci,103,2018
BSN,ABFL,Not Indicated,103,2018
BAB,BAJ,BSED-Fil,103,2018
BSN,BSBA-FM,BSAM,103,2018
BSIT,BSCS,BSIS,103,2018
BSN,BSBio,BSTM,103,2018
BSBA-FM,BSCM,ABELS,103,2018
BSEd-Math,Not Indicated,Not Indicated,103,2018
BSN,BSBio,ABFL,103,2018
BSBA-FM,BSBA-OM,AB Pol Sci,103,2018
BSBA-FM,BSHM,BSTM,103,2018
BSN,BSBio,BAB,103,2018
BSN,BSBio,BSDC,103,2018
BSN,BSBio,Not Indicated,103,2018
BSBA-FM,BSTM,BSAM,103,2018
BSN,BSCS,BECEd,103,2018
BSN,BSBio,BSHM,103,2018
BSTM,BSESS,BAB,103,2018
BSBA-FM,BSBA-OM,BSTM,103,2018
BSCS,BSTM,AB Pol Sci,103,2018
BSNED-Gen,BSED-Soc Stud,BSESS,103,2018
BSN,Not Indicated,Not Indicated,103,2018
BSN,BSBio,BSTM,103,2018
BSN,BSBio,BCAED,103,2018
BSN,BSBio,BSTM,103,2018
BSN,BSBio,Not Indicated,103,2018
BSN,BSBio,BSTM,103,2018
BSN,BSBio,ABFL,103,2018
BSBA-FM,BCAED,BSEd-Math,103,2018
BSN,Not Indicated,Not Indicated,103,2018
BSN,BSBio,ABFL,103,2018
BSTM,BSHM,ABFL,103,2018
BSN,BSBio,BSAM,103,2018
BSEd-Math,BSNED-Gen,BSED-Sci,103,2018
BSN,BSBA-OM,BSED-Fil,103,2018
BPA,BSHM,BSBA-OM,103,2018
BSBA-FM,BSESS,BPEDD,103,2018
BSN,BSBio,Not Indicated,103,2018
BSCS,BSIT,BSBio,103,2018
BSN,BSBio,AB Pol Sci,103,2018
BSN,BSBio,Not Indicated,103,2018
BSN,BSBio,Not Indicated,103,2018
BSN,BSIT,BSCS,103,2018
BSN,BSBio,Not Indicated,103,2018
BSED-Eng,BEED,BECEd,102,2018
ABFL,ABELS,BSIT,102,2018
BEEd,BECEd,BSED-Fil,102,2018
BSED-Sci,BSN,BSTM,102,2018
BSNED-Gen,BSDC,BSED-Soc Stud,102,2018
BSED-Eng,BPEDD,BSN,102,2018
BAJ,ABFL,BSDC,102,2018
BSED-Soc Stud,BEED,BSAM,102,2018
ABFL,BCAED,BSTM,102,2018
BSED-Soc Stud,BSED-Eng,BSNED-Gen,102,2018
BSBA-OM,BSBA-FM,BSCM,102,2018
ABELS,BSED-Eng,BSED-Fil,102,2018
BSN,BSBio,BSTM,102,2018
BSHM,BSTM,ABFL,102,2018
BSED-Sci,BECEd,BEED,102,2018
BSN,AB Pol Sci,BSBio,102,2018
BAB,AB Pol Sci,BSN,102,2018
BSBA-FM,BSTM,BSIS,102,2018
BSN,BSED-Sci,BPEDD,102,2018
BSBA-FM,BSBA-OM,ABELS,102,2018
BSBA-FM,BSBA-OM,BAB,102,2018
BEEd,BSED-Eng,ABELS,102,2018
BSBA-FM,BSIT,BSED-Eng,102,2018
BSN,BSBio,BSIT,102,2018
BSED-Eng,ABELS,BSIT,102,2018
BSIT,BSCS,BAJ,102,2018
BSBio,BSN,BSCS,102,2018
BSAM,BSDC,AB Pol Sci,102,2018
BSN,BSHM,ABFL,102,2018
BSBA-FM,BSBA-OM,BSCM,102,2018
BSN,BSBio,BSNED-Gen,102,2018
BSN,BSIT,BSCS,102,2018
BSBio,BSTM,AB Pol Sci,102,2018
ABFL,ABELS,BSBA-FM,102,2018
BSN,BSBio,BSBA-FM,102,2018
BSTM,BSN,BSBio,102,2018
BSIT,BSIS,BSCS,102,2018
BSTM,ABFL,BSBio,102,2018
BSED-Sci,BSED-Soc Stud,ABELS,102,2018
BSED-Soc Stud,AB Pol Sci,BSDC,102,2018
BSDC,BAJ,BPA,102,2018
BSN,BSED-Eng,BPEDD,102,2018
BSAM,AB Pol Sci,BSBA-FM,102,2018
BSNEd-TDHL,BSN,BAB,102,2018
AB Pol Sci,BAJ,BAB,102,2018
BSN,BSBA-FM,BSIT,102,2018
ABFL,ABELS,BAJ,102,2018
BSN,BSBA-FM,BSTM,102,2018
AB Pol Sci,ABFL,BAJ,102,2018
AB Pol Sci,BEED,BSN,102,2018
ABFL,BSBA-FM,BAJ,102,2018
AB Pol Sci,BSBio,BAJ,102,2018
BSTM,BPEDD,BSN,102,2018
BSED-Eng,BSBA-FM,BSIT,102,2018
BSN,BSBio,ABELS,102,2018
BSN,BSBio,BSEMC,102,2018
BSN,BSBio,BSBA-FM,102,2018
BSTM,BSBA-FM,BSHM,102,2018
BSN,BSBio,BAJ,102,2018
BSN,BSBio,AB Pol Sci,102,2018
BPEDD,BSED-Sci,AB Pol Sci,102,2018
BSN,BSBio,BSNED-Gen,102,2018
BSED-Eng,BSED-Soc Stud,ABELS,102,2018
BSN,BSBio,BSIT,102,2018
BSTM,BSBA-FM,BSIT,102,2018
BSN,BSBio,Not Indicated,102,2018
BSAM,BSED-Eng,BSEd-Math,102,2018
BSBA-FM,BSED-Eng,BAB,102,2018
BSBio,BSN,BAJ,102,2018
BSBA-FM,BSBio,Not Indicated,102,2018
BSED-Eng,ABFL,BEED,102,2018
BSEd-Math,BSAM,BSBA-FM,102,2018
BSBio,BSN,BSTM,102,2018
BSBio,BSTM,BSED-Sci,102,2018
BSBA-OM,BSIT,BSCS,102,2018
BSAM,BSEd-Math,BSN,102,2018
BEEd,BSIT,BSBA-FM,102,2018
BSBA-FM,BSAM,Not Indicated,102,2018
BSBA-FM,AB Pol Sci,BSIT,102,2018
BSBA-FM,BSAM,BSEd-Math,102,2018
BSN,BSNED-Gen,ABFL,102,2018
BSCS,BSHM,BSTM,102,2018
BSN,BSBio,Not Indicated,102,2018
BSTM,BSBA-FM,BSDC,102,2018
BSBA-FM,BSTM,BSBA-OM,102,2018
BSN,BSNED-Gen,BEED,102,2018
BSN,BSHM,BSBio,102,2018
ABFL,AB Pol Sci,ABELS,102,2018
BSBA-FM,BEED,BPA,102,2018
BSN,BSBio,Not Indicated,102,2018
ABELS,ABFL,Not Indicated,102,2018
BSN,BSBio,BSTM,102,2018
BSN,BSBio,BSIT,102,2018
BSED-Soc Stud,BSESS,BPEDD,101,2018
BSBA-FM,BSBA-OM,BSN,101,2018
BSBio,Not Indicated,Not Indicated,101,2018
BSCS,BSIT,ABFL,101,2018
BSBA-FM,BSBA-OM,BSN,101,2018
BSEd-Math,BSAM,AB Pol Sci,101,2018
BSCS,BSIT,BSBA-FM,101,2018
BEEd,BLIS,BSIT,101,2018
BPA,BSN,BPEDD,101,2018
BSED-Eng,ABFL,ABELS,101,2018
BAJ,ABELS,BEED,101,2018
BSTM,BSHM,BEED,101,2018
BSN,BSBio,BSTM,101,2018
BSHM,BSBA-OM,BSN,101,2018
BSTM,AB Pol Sci,BAJ,101,2018
BSN,BSBio,BSAM,101,2018
BEEd,BECEd,BAB,101,2018
BSBio,BSN,BSED-Sci,101,2018
BSN,BSBio,ABFL,101,2018
BSEd-Math,BSAM,BSBA-FM,101,2018
BSN,BSBio,BSTM,101,2018
BSBio,BSN,BSBA-FM,101,2018
BSBio,BSN,BSED-Eng,101,2018
BSN,BSBio,BSBA-OM,101,2018
BSBio,ABFL,BSTM,101,2018
ABELS,BSED-Eng,BSTM,101,2018
BSBA-FM,BSIT,BAJ,101,2018
BSED-Soc Stud,AB Pol Sci,BSNEd-TDHL,101,2018
BSED-Eng,BSED-Sci,BPA,101,2018
BSBio,BSED-Sci,BSN,101,2018
BSEd-Math,BSBA-FM,BAB,101,2018
BSN,BSBio,BPA,101,2018
BSED-Eng,BSED-Fil,BEED,101,2018
BSN,BSTM,BSBio,101,2018
BSTM,BSN,BSBA-FM,101,2018
BSAM,ABFL,BSBio,101,2018
BSTM,AB Pol Sci,BSBio,101,2018
BSN,BSBio,BSED-Soc Stud,101,2018
BSN,BSBio,BSIT,101,2018
BSN,BSBio,ABFL,101,2018
BSN,BSBio,BSEMC,101,2018
BSED-Fil,BEED,BSIS,101,2018
BSN,BSBio,AB Pol Sci,101,2018
BSBA-FM,BSBA-OM,BSED-Soc Stud,101,2018
BSN,BSIT,BSBio,101,2018
BSEd-Math,BSAM,BEED,101,2018
BSN,BSBio,AB Pol Sci,101,2018
BSBio,BSDC,BSIT,101,2018
BSBA-FM,BSEd-Math,BSIT,101,2018
BSBio,BSBio,AB Pol Sci,101,2018
AB Pol Sci,BSDC,BSEd-Math,101,2018
AB Pol Sci,ABELS,BAJ,101,2018
AB Pol Sci,BSBio,Not Indicated,101,2018
AB Pol Sci,BSN,BAJ,101,2018
AB Pol Sci,BSBio,ABFL,101,2018
AB Pol Sci,BSED-Soc Stud,ABELS,101,2018
AB Pol Sci,ABFL,ABELS,101,2018
AB Pol Sci,BEED,BSN,101,2018
AB Pol Sci,BSED-Fil,BSED-Soc Stud,101,2018
BSBio,BSN,AB Pol Sci,101,2018
AB Pol Sci,BSN,ABFL,101,2018
BCAED,BAJ,BSED-Eng,101,2018
AB Pol Sci,BSTM,BAJ,101,2018
BSBA-FM,BSBA-OM,BSEd-Math,101,2018
BSBio,BSIS,BSCS,101,2018
BSN,BSBio,BSIT,101,2018
BSN,BSBio,ABFL,101,2018
BSED-Eng,BSTM,ABELS,101,2018
BSN,BSCS,BSAM,101,2018
BSBio,BEED,BSN,101,2018
BSN,BSBio,ABFL,101,2018
BSN,BSBio,BSTM,101,2018
BSED-Eng,ABFL,BEED,101,2018
BSN,BSIT,BSCS,101,2018
BSBio,BSED-Sci,BSN,101,2018
BSNED-Gen,AB Pol Sci,BSTM,101,2018
BSBA-FM,BSTM,BSIT,101,2018
BSN,BSBio,BSEd-Math,101,2018
BSN,BEED,BSBio,101,2018
BSBio,BSED-Sci,BSTM,101,2018
BSBA-FM,AB Pol Sci,BSBA-OM,101,2018
BSBA-FM,BSAM,BSBio,101,2018
BSTM,BSDC,BSIT,101,2018
BSBA-OM,BSHM,BECEd,101,2018
BSN,BSBio,BPA,101,2018
BAB,BSED-Eng,BSIT,101,2018
BSBA-OM,BSCM,AB Pol Sci,101,2018
BSN,BSBio,BSIT,101,2018
BSAM,BSBA-FM,BSNED-Gen,101,2018
BSBio,BSTM,BSN,101,2018
BSBA-FM,BSTM,BSBA-OM,101,2018
BEEd,BSBio,BECEd,101,2018
BSED-Sci,BSN,Not Indicated,101,2018
BAB,ABFL,BSIT,101,2018
BSTM,BSBA-OM,BSN,101,2018
BSN,Not Indicated,Not Indicated,101,2018
BSN,AB Pol Sci,BSBA-FM,101,2018
BSBA-FM,BSBA-OM,BSAM,100,2018
BSBA-FM,BSBA-OM,BSHM,100,2018
BSBA-FM,BSHM,BSTM,100,2018
BAB,BSED-Fil,BAJ,100,2018
BSED-Eng,BPA,BPEDD,100,2018
BEEd,BCAED,BSED-Eng,100,2018
BSN,BSBio,BSCS,100,2018
BSBio,BSCS,BSN,100,2018
BSAM,BSIT,BSBA-FM,100,2018
BSED-Fil,BEED,AB Pol Sci,100,2018
BSBA-FM,BSCM,BSED-Eng,100,2018
BSBio,BSN,BSBA-FM,100,2018
BAJ,BAB,BCAED,100,2018
BSED-Sci,BSBA-OM,BSIS,100,2018
BSTM,BSN,ABFL,100,2018
BSBA-FM,BSEd-Math,BSHM,100,2018
BSHM,BSTM,BSED-Sci,100,2018
BSIT,BSBA-FM,BSBA-OM,100,2018
BEEd,BSED-Soc Stud,AB Pol Sci,100,2018
BSEd-Math,BSED-Fil,ABFL,100,2018
BSED-Eng,BEED,BSTM,100,2018
BSBA-FM,BSBA-OM,BSED-Fil,100,2018
BSED-Fil,AB Pol Sci,BSBA-FM,100,2018
BSBA-FM,BSBA-OM,BAB,100,2018
BSN,BSBio,BSESS,100,2018
BSBio,BSN,Not Indicated,100,2018
BSBA-OM,BSHM,BSDC,100,2018
BSED-Soc Stud,AB Pol Sci,BLIS,100,2018
BSBio,AB Pol Sci,ABELS,100,2018
BSTM,AB Pol Sci,BSBA-FM,100,2018
BSN,BSBio,ABFL,100,2018
BSN,BSBio,Not Indicated,100,2018
BSN,BSBio,BSBA-FM,100,2018
BSBio,BSN,BSBA-FM,100,2018
BSBio,BSN,Not Indicated,100,2018
BPEDD,BPA,BSESS,100,2018
BSBio,BSED-Sci,BSN,100,2018
BSTM,BSHM,ABFL,100,2018
BSED-Soc Stud,BSED-Sci,BSBio,100,2018
BSBA-OM,BSTM,BSBA-FM,100,2018
BAJ,BSN,BSED-Soc Stud,100,2018
BSN,BSBio,BSCS,100,2018
ABFL,BCAED,BSBio,100,2018
ABELS,AB Pol Sci,BAB,100,2018
AB Pol Sci,BSBio,BAJ,100,2018
AB Pol Sci,BSED-Sci,BSBio,100,2018
AB Pol Sci,BSED-Soc Stud,BSHM,100,2018
BEEd,BSED-Soc Stud,BSIT,100,2018
AB Pol Sci,BSTM,BSN,100,2018
BCAED,ABFL,BAJ,100,2018
BSED-Fil,AB Pol Sci,BAB,100,2018
BSNED-Gen,BECEd,BSTM,100,2018
BPA,BSEd-Math,BSTM,100,2018
BSBio,BSN,BSEMC,100,2018
BSN,BSBio,Not Indicated,100,2018
BSN,BSBio,BSTM,100,2018
BSBA-FM,BSCM,BSEd-Math,100,2018
BSBA-FM,BSED-Eng,BSBio,100,2018
ABFL,BSED-Fil,BEED,100,2018
BSHM,Not Indicated,BSBA-FM,100,2018
BSBio,BSED-Eng,BSCS,100,2018
BSDC,BAJ,ABELS,100,2018
ABELS,BSED-Soc Stud,BSNED-Gen,100,2018
BCAED,BSIT,Not Indicated,100,2018
BSBA-FM,BAB,BSBio,100,2018
ABELS,BSED-Eng,ABFL,100,2018
BAB,BSTM,Not Indicated,100,2018
BSED-Eng,ABELS,BEED,100,2018
BSBA-FM,BEED,BSED-Eng,100,2018
BSBio,AB Pol Sci,BSN,100,2018
BSBA-OM,BSBA-FM,BSTM,100,2018
BSN,BSDC,BSHM,100,2018
BSDC,BAJ,BSED-Eng,100,2018
BSN,BSTM,BSBio,100,2018
BSN,BSBio,BSIT,100,2018
BSN,AB Pol Sci,BSTM,100,2018
BSN,BSBio,BSEd-Math,100,2018
BSN,BSBio,BSED-Eng,100,2018
BSBio,BSN,Not Indicated,100,2018
BSED-Eng,BSBA-FM,BEED,100,2018
BSED-Eng,BSN,BSIT,100,2018
BSBio,BSN,BSIT,100,2018
BSN,BSBio,AB Pol Sci,100,2018
BSN,BSED-Eng,BSEd-Math,99,2018
BSED-Eng,BSN,ABELS,99,2018
BSTM,ABFL,BAJ,99,2018
BSED-Eng,ABELS,BPA,99,2018
BSDC,BSIT,BSHM,99,2018
BSED-Sci,BSBA-FM,BSAM,99,2018
BLIS,BPA,BEED,99,2018
BSIT,BSED-Soc Stud,BSIS,99,2018
BSBA-FM,BSED-Eng,BAJ,99,2018
BSBA-FM,BSAM,BSEd-Math,99,2018
BSED-Eng,BSTM,ABFL,99,2018
BSTM,BSAM,BSBA-FM,99,2018
ABFL,BSTM,ABELS,99,2018
BSBA-FM,BSBA-OM,BSN,99,2018
BSIT,BSEMC,BSIS,99,2018
BSED-Soc Stud,BEED,BSED-Fil,99,2018
BSN,BSTM,BSBio,99,2018
BSIT,BSBA-OM,BSIS,99,2018
BSN,BSBio,BSAM,99,2018
BAB,BAJ,BSDC,99,2018
BECEd,BSNED-Gen,AB Pol Sci,99,2018
BSBA-FM,ABFL,BSBA-OM,99,2018
BSBA-FM,BSAM,BSIT,99,2018
BSN,BSBio,BSDC,99,2018
BSBio,BSCS,BSIT,99,2018
BSTM,BSHM,ABELS,99,2018
BSN,BAB,BAJ,99,2018
BSIT,BSBA-OM,BSED-Sci,99,2018
BSBA-FM,BSBA-OM,Not Indicated,99,2018
BAB,BSTM,BSED-Sci,99,2018
BSN,BSBio,BSNED-Gen,99,2018
BSBA-FM,BSBA-OM,AB Pol Sci,99,2018
BSED-Eng,BSHM,BSTM,99,2018
BSED-Eng,BSHM,BSEd-Math,99,2018
BSN,BSBio,BSHM,99,2018
BSIT,BSBio,BSN,99,2018
ABFL,ABELS,BSED-Eng,99,2018
BSBio,BSN,Not Indicated,99,2018
BSED-Soc Stud,BSED-Sci,BEED,99,2018
BSCS,BSAM,BSTM,99,2018
BSN,BSBio,BSBA-OM,99,2018
BSBA-FM,BSCM,BAB,99,2018
BSEd-Math,BEED,BSED-Sci,99,2018
BSBio,BSHM,BSED-Sci,99,2018
BSBio,BSN,Not Indicated,99,2018
BSESS,BSED-Soc Stud,BEED,99,2018
BSN,BSBio,AB Pol Sci,99,2018
BSEMC,BSN,BSIT,99,2018
BSBA-FM,BSIS,BSHM,99,2018
BSED-Eng,BSTM,BSN,99,2018
BSN,BSBio,BSTM,99,2018
BSED-Sci,BEED,BSN,99,2018
BSBA-OM,BSTM,BSN,99,2018
BSN,BSBio,BSTM,99,2018
BSBA-FM,BSAM,BSCM,99,2018
AB Pol Sci,BSTM,BSED-Soc Stud,99,2018
AB Pol Sci,ABFL,ABELS,99,2018
BSN,BSBio,ABELS,99,2018
BSN,BSBio,BSAM,99,2018
BSN,BSBio,BSHM,99,2018
BSBA-FM,BSED-Eng,BSIT,99,2018
BSBio,AB Pol Sci,BSIT,99,2018
BSN,BSBio,BSED-Sci,99,2018
BSBio,BSN,Not Indicated,99,2018
BSN,BSBio,BSAM,99,2018
BSBA-FM,BSHM,BSED-Eng,99,2018
BSBio,BSN,BSNED-Gen,99,2018
BSN,BSBio,BAJ,99,2018
BSTM,ABFL,Not Indicated,99,2018
BSBio,BSED-Fil,BSTM,99,2018
BSTM,BSN,BSIT,99,2018
BSN,BSBio,AB Pol Sci,99,2018
BSN,BSBio,ABELS,99,2018
BSBA-FM,BSAM,BSEd-Math,99,2018
BECEd,ABFL,BSTM,99,2018
BSED-Eng,BSED-Soc Stud,BAJ,99,2018
BSEMC,BSIT,BSCS,99,2018
BSHM,BSBA-FM,BSBA-OM,99,2018
BSTM,BPA,BAB,99,2018
BSN,BSEd-Math,BSBio,99,2018
BSBio,BPA,BAJ,99,2018
BSAM,BSEd-Math,AB Pol Sci,99,2018
BSBA-FM,BSBA-OM,BSED-Fil,99,2018
ABELS,BAB,BAJ,99,2018
BSN,BSBio,BSAM,99,2018
BSBio,BSN,Not Indicated,99,2018
BSN,BSBio,BSIT,99,2018
ABELS,BAJ,BSED-Eng,99,2018
BSN,BSCS,BSBio,99,2018
BSBio,BSIT,BSIS,99,2018
BSN,BSBA-OM,BSBio,99,2018
BSBA-FM,BSCS,BSIT,99,2018
BSED-Eng,ABELS,BSN,99,2018
BSBio,BSESS,BSTM,99,2018
BSN,BSBio,Not Indicated,99,2018
BSN,BSBio,Not Indicated,99,2018
BSED-Sci,BSBio,BSN,99,2018
BSN,BSBio,Not Indicated,99,2018
BSBA-FM,BSHM,ABELS,99,2018
BSN,BSBio,BSTM,99,2018
BSN,BSHM,BSTM,99,2018
BSIS,BSIT,BSCS,99,2018
BSN,BSBio,BSED-Sci,99,2018
BSIT,Not Indicated,Not Indicated,99,2018
BSN,BSBio,BSCS,99,2018
BSN,BSCS,BSIT,99,2018
BSBA-FM,BSBA-OM,AB Pol Sci,99,2018
BSAM,AB Pol Sci,ABFL,99,2018
BSN,Not Indicated,Not Indicated,99,2018
BSBio,BSTM,BSN,99,2018
BSBio,ABFL,Not Indicated,98,2018
BSBA-FM,BSBA-OM,AB Pol Sci,98,2018
BSIS,BSIT,BSEMC,98,2018
BSBA-FM,BSHM,BSTM,98,2018
BSED-Eng,BAB,BSBio,98,2018
BSED-Eng,BSTM,BSHM,98,2018
BSN,BSEd-Math,BSBio,98,2018
BSED-Sci,BSBio,BSED-Eng,98,2018
ABELS,BAJ,AB Pol Sci,98,2018
BSTM,BSN,BSBA-FM,98,2018
BSBio,BSN,ABELS,98,2018
BSBA-OM,BSHM,BSBA-FM,98,2018
BSN,BSBio,Not Indicated,98,2018
BSAM,BSEd-Math,BSED-Sci,98,2018
BSBio,BSN,BSAM,98,2018
BSTM,BEED,ABFL,98,2018
BSED-Sci,BSBio,BSTM,98,2018
BSTM,BSBA-FM,ABFL,98,2018
BSTM,ABFL,AB Pol Sci,98,2018
BSN,BSBio,BSED-Sci,98,2018
BSBA-FM,BSN,BSIT,98,2018
BSBio,BSBA-OM,BSCS,98,2018
BSN,BSED-Fil,BECEd,98,2018
BSIT,BSIS,BSCS,98,2018
BSED-Eng,BSN,BSBA-OM,98,2018
BSN,BSBio,BSBA-FM,98,2018
BSIT,BSIS,BSCM,98,2018
BAB,BSED-Eng,BAJ,98,2018
BSEd-Math,BEED,BSAM,98,2018
ABELS,BSED-Soc Stud,BSHM,98,2018
BSBA-OM,BSBA-FM,ABFL,98,2018
BSN,BSBio,BSHM,98,2018
BSBio,BSN,BSIT,98,2018
BSED-Eng,BECEd,BSED-Fil,98,2018
BAJ,AB Pol Sci,ABELS,98,2018
BSBA-FM,BSDC,BSIT,98,2018
BSED-Soc Stud,BSHM,AB Pol Sci,98,2018
BSED-Soc Stud,AB Pol Sci,BSED-Fil,98,2018
BSBA-FM,BEED,BSED-Fil,98,2018
BSBA-FM,BSAM,BSIT,98,2018
BPA,BSED-Fil,BSED-Soc Stud,98,2018
BEEd,BSED-Fil,BSED-Sci,98,2018
BSIT,BSEMC,BSIS,98,2018
BPA,BSED-Soc Stud,BSHM,98,2018
BEEd,BSBio,BSN,98,2018
BSN,BSBio,ABELS,98,2018
BSBio,BSN,BSCS,98,2018
BSN,BSBio,Not Indicated,98,2018
